exercise_name,link,url,file,body_part,equipment,primary_muscles,secondary_muscles,lyfta_exercise
Bench Press - Close Grip (Barbell),https://www.lyfta.app/exercise/bench-press-7,https://www.lyfta.app//video/GymvisualMP4/00251201.mp4,00251201.mp4,Chest,Barbell,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",Bench Press
Bench Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-bench-press-84,https://www.lyfta.app//video/GymvisualMP4/02891201.mp4,02891201.mp4,Chest,Dumbbell,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",Dumbbell Bench Press
Chest Fly (Dumbbell),https://www.lyfta.app/exercise/fly-8t,https://www.lyfta.app//video/GymvisualMP4/03081201.mp4,03081201.mp4,Chest,Dumbbell,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Deltoid Anterior",Fly
Incline Bench Press (Barbell),https://www.lyfta.app/exercise/incline-bench-press-p,https://www.lyfta.app//video/GymvisualMP4/00471201.mp4,00471201.mp4,Chest,Barbell,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",Incline Bench Press
Incline Bench Press (Dumbbell),https://www.lyfta.app/exercise/incline-bench-press-8x,https://www.lyfta.app//video/GymvisualMP4/03141201.mp4,03141201.mp4,Chest,Dumbbell,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",Incline Bench Press
Incline Chest Fly (Dumbbell),https://www.lyfta.app/exercise/incline-fly-8y,https://www.lyfta.app//video/GymvisualMP4/03191201.mp4,03191201.mp4,Chest,Dumbbell,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior",Incline Fly
Seated Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z,https://www.lyfta.app//video/GymvisualMP4/00911201.mp4,00911201.mp4,Shoulders,Barbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Barbell Seated Overhead Press
Seated Overhead Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-seated-shoulder-press--7tq,https://www.lyfta.app//video/GymvisualMP4/22371201.mp4,22371201.mp4,Shoulders,Dumbbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Dumbbell Seated Shoulder Press
Arnold Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-arnold-press-7rl,https://www.lyfta.app//video/GymvisualMP4/21371201.mp4,21371201.mp4,Shoulders,Dumbbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Dumbbell Arnold Press
Neck Shoulder Press,https://www.lyfta.app/exercise/standing-behind-neck-press-6v2,https://www.lyfta.app//video/GymvisualMP4/07881201.mp4,07881201.mp4,Shoulders,Barbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Standing Behind Neck Press
Front Raise (Dumbbell),https://www.lyfta.app/exercise/front-raise-8u,https://www.lyfta.app//video/GymvisualMP4/03101201.mp4,03101201.mp4,Shoulders,Dumbbell,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",Front Raise
Lateral Raise (Dumbbell),https://www.lyfta.app/exercise/lateral-raise-96,https://www.lyfta.app//video/GymvisualMP4/03341201.mp4,03341201.mp4,Shoulders,Dumbbell,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior",Lateral Raise
Bent Over Raise,https://www.lyfta.app/exercise/rear-lateral-raise-9o,https://www.lyfta.app//video/GymvisualMP4/03801201.mp4,03801201.mp4,Shoulders,Dumbbell,Deltoid Posterior,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Rear Lateral Raise
Shrug (Barbell),https://www.lyfta.app/exercise/barbell-shrug-61d,https://www.lyfta.app//video/GymvisualMP4/00951201.mp4,00951201.mp4,Back,Barbell,Trapezius Upper Fibers,"Levator Scapulae, Trapezius Middle Fibers",Barbell Shrug
Bicep Curl (Barbell),https://www.lyfta.app/exercise/ez-barbell-curl-6lv,https://www.lyfta.app//video/GymvisualMP4/04471201.mp4,04471201.mp4,"Biceps, Upper Arms",EZ Barbell,Biceps Brachii,"Brachialis, Brachioradialis",EZ Barbell Curl
Bicep Curl Dumbbell Double Arm,https://www.lyfta.app/exercise/dumbbell-biceps-curl-6hm,https://www.lyfta.app//video/GymvisualMP4/02941201.mp4,02941201.mp4,"Biceps, Upper Arms",Dumbbell,Biceps Brachii,"Brachialis, Brachioradialis",Dumbbell Biceps Curl
Bicep Curl (Dumbbell),https://www.lyfta.app/en/exercise/dumbbell-alternate-biceps-curl-6h3,https://www.lyfta.app//video/GymvisualMP4/02851201.mp4,02851201.mp4,"Biceps, Upper Arms",Dumbbell,Biceps Brachii,"Brachialis, Brachioradialis",Dumbbell Alternate Biceps Curl
Hammer Curl (Dumbbell),https://www.lyfta.app/exercise/hammer-curl-8w,https://www.lyfta.app//video/GymvisualMP4/03131201.mp4,03131201.mp4,"Biceps, Upper Arms",Dumbbell,Brachioradialis,"Biceps Brachii, Brachialis",Hammer Curl
Bicep Curl Dumbbell Double Arm Seated,https://www.lyfta.app/en/exercise/dumbbell-seated-curl-6k1,https://www.lyfta.app//video/GymvisualMP4/03911201.mp4,03911201.mp4,"Biceps, Upper Arms",Dumbbell,Biceps Brachii,"Brachialis, Brachioradialis",Dumbbell Seated Curl
Bicep Curl Dumbbell Single Arm Seated,https://www.lyfta.app/en/exercise/alternate-biceps-curl-3j,https://www.lyfta.app//video/GymvisualMP4/11961201.mp4,11961201.mp4,"Biceps, Upper Arms",Dumbbell,Biceps Brachii,"Brachialis, Brachioradialis",Alternate Biceps Curl
Hammer Curl Seated,https://www.lyfta.app/en/exercise/dumbbell-alternate-seated-hammer-curl-7f9,https://www.lyfta.app//video/GymvisualMP4/16481201.mp4,16481201.mp4,"Biceps, Upper Arms",Dumbbell,,,Dumbbell Alternate Seated Hammer Curl
Triceps Extension (Barbell),https://www.lyfta.app/en/exercise/barbell-seated-overhead-triceps-extension-61a,https://www.lyfta.app//video/GymvisualMP4/00921201.mp4,00921201.mp4,"Triceps, Upper Arms",Barbell,Triceps Brachii,,Barbell Seated Overhead Triceps Extension
Triceps Extension (Dumbbell),https://www.lyfta.app/exercise/dumbbell-standing-triceps-extension-6l4,https://www.lyfta.app//video/GymvisualMP4/04301201.mp4,04301201.mp4,"Triceps, Upper Arms",Dumbbell,Triceps Brachii,,Dumbbell Standing Triceps Extension
Tricep Extension Dumbbell Single Arm,https://www.lyfta.app/en/exercise/standing-one-arm-extension-01,https://www.lyfta.app//video/GymvisualMP4/04231201.mp4,04231201.mp4,"Triceps, Upper Arms",Dumbbell,Triceps Brachii,,Standing One Arm Extension
Tricep Extension Dumbbell Seated,https://www.lyfta.app/en/exercise/dumbbell-seated-triceps-extension-7sh,https://www.lyfta.app//video/GymvisualMP4/21881201.mp4,21881201.mp4,"Triceps, Upper Arms",Dumbbell,Triceps Brachii,,Dumbbell Seated Triceps Extension
Tricep Extension Dumbbell Single Arm Seated,https://www.lyfta.app/en/exercise/dumbbell-one-arm-triceps-extension-6ji,https://www.lyfta.app//video/GymvisualMP4/03621201.mp4,03621201.mp4,"Triceps, Upper Arms",Dumbbell,Triceps Brachii,,Dumbbell One Arm Triceps Extension
Skullcrusher (Barbell),https://www.lyfta.app/exercise/barbell-lying-triceps-extension-skull-crusher-60e,https://www.lyfta.app//video/GymvisualMP4/00601201.mp4,00601201.mp4,"Triceps, Upper Arms",Barbell,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Barbell Lying Triceps Extension Skull Crusher
Bicep Curl (Cable),https://www.lyfta.app/exercise/cable-curl-6xk,https://www.lyfta.app//video/GymvisualMP4/08681201.mp4,08681201.mp4,"Biceps, Upper Arms",Cable,Biceps Brachii,"Brachialis, Brachioradialis",Cable Curl
Bicep Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi,https://www.lyfta.app//video/GymvisualMP4/18721201.mp4,18721201.mp4,"Biceps, Upper Arms",Leverage machine,,,Lever Preacher Curl
Triceps Pushdown (Cable - Straight Bar),https://www.lyfta.app/exercise/triceps-pushdown-fd,https://www.lyfta.app//video/GymvisualMP4/16051201.mp4,16051201.mp4,"Triceps, Upper Arms",Cable,,,Triceps Pushdown
Bench Dumbel Hammer Press,https://www.lyfta.app/exercise/lying-hammer-press-3f,https://www.lyfta.app//video/GymvisualMP4/11771201.mp4,11771201.mp4,Chest,Dumbbell,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",Lying Hammer Press
Super Man Raise Bench Reverse,https://www.lyfta.app/exercise/dumbbell-incline-y-raise-8to,https://www.lyfta.app//video/GymvisualMP4/35411201.mp4,35411201.mp4,Shoulders,Dumbbell,"Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",,Dumbbell Incline Y-Raise
Triceps Dip,https://www.lyfta.app/exercise/lever-seated-dip-ff,https://www.lyfta.app//video/GymvisualMP4/14511201.mp4,14511201.mp4,"Triceps, Upper Arms",Leverage machine,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Lever Seated Dip
Front Raise (Plate),https://www.lyfta.app/exercise/weighted-front-raise-6wm,https://www.lyfta.app//video/GymvisualMP4/08341201.mp4,08341201.mp4,Shoulders,Weighted,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",Weighted Front Raise
Front Raise (Barbell),https://www.lyfta.app/exercise/barbell-front-raise-60l,https://www.lyfta.app//video/GymvisualMP4/00411101.mp4,00411101.mp4,Shoulders,Barbell,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",Barbell Front Raise
Bicep Curl Cross,https://www.lyfta.app/exercise/cross-body-hammer-curl-8m,https://www.lyfta.app//video/GymvisualMP4/02981201.mp4,02981201.mp4,Forearms,Dumbbell,Brachioradialis,"Biceps Brachii, Brachialis",Cross Body Hammer Curl
Concentration Curl (Dumbbell),https://www.lyfta.app/exercise/concentration-curl-8l,https://www.lyfta.app//video/GymvisualMP4/02971201.mp4,02971201.mp4,"Biceps, Upper Arms",Dumbbell,Brachialis,"Biceps Brachii, Brachioradialis",Concentration Curl
Face Pull (Cable),https://www.lyfta.app/exercise/band-face-pull-6y2,https://www.lyfta.app//video/GymvisualMP4/08961201.mp4,08961201.mp4,Shoulders,Band,Deltoid Posterior,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Band face pull
Cable Cross High Reverse Fly,https://www.lyfta.app/exercise/cable-standing-cross-over-high-reverse-fly-6fp,https://www.lyfta.app//video/GymvisualMP4/02251201.mp4,02251201.mp4,Shoulders,Cable,Deltoid Posterior,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Cable Standing Cross-over High Reverse Fly
Facepull Upright Row,https://www.lyfta.app/en/exercise/barbell-wide-grip-upright-row-62v,https://www.lyfta.app//video/GymvisualMP4/01231201.mp4,01231201.mp4,Shoulders,Barbell,Deltoid Lateral,"Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Barbell Wide-grip Upright Row
Upright Row (Dumbbell),https://www.lyfta.app/exercise/upright-row-0f,https://www.lyfta.app//video/GymvisualMP4/04371201.mp4,04371201.mp4,Shoulders,Dumbbell,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Upright Row
Pull Up (Assisted),https://www.lyfta.app/exercise/pull-up-6rk,https://www.lyfta.app//video/GymvisualMP4/06521201.mp4,06521201.mp4,Back,Body weight,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",Pull-up
Bent Over One Arm Row (Dumbbell),https://www.lyfta.app/exercise/one-arm-bent-over-row-8h,https://www.lyfta.app//video/GymvisualMP4/02921201.mp4,02921201.mp4,Back,Dumbbell,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",One Arm Bent-over Row
Shrug (Smith Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4,Back,Smith machine,Trapezius Upper Fibers,"Levator Scapulae, Trapezius Middle Fibers",Smith Shrug
Preacher Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi,https://www.lyfta.app//video/GymvisualMP4/18721201.mp4,18721201.mp4,"Biceps, Upper Arms",Leverage machine,,,Lever Preacher Curl
Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z,https://www.lyfta.app//video/GymvisualMP4/00911201.mp4,00911201.mp4,Shoulders,Barbell,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",Barbell Seated Overhead Press
Bench Press (Smith Machine),https://www.lyfta.app/exercise/bench-press-7,https://www.lyfta.app//video/GymvisualMP4/00251201.mp4,00251201.mp4,Chest,Barbell,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",Bench Press
Cable Crossover,https://www.lyfta.app/en/exercise/standing-up-straight-crossovers-45,https://www.lyfta.app//video/GymvisualMP4/12691201.mp4,12691201.mp4,Chest,Cable,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",Standing Up Straight Crossovers
Cable Push Down Rope,https://www.lyfta.app/en/exercise/cable-pushdown-64a,https://www.lyfta.app//video/GymvisualMP4/02001201.mp4,02001201.mp4,"Triceps, Upper Arms",Cable,Triceps Brachii,,Cable Pushdown
Squat (Barbell),https://www.lyfta.app/en/exercise/barbell-full-squat-60n,https://www.lyfta.app//video/GymvisualMP4/00431201.mp4,00431201.mp4,"Quadriceps, Thighs",Barbell,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",Barbell Full Squat
Deadlift (Barbell),https://www.lyfta.app/exercise/deadlift-2,https://www.lyfta.app//video/GymvisualMP4/00321201.mp4,00321201.mp4,Hips,Barbell,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",Deadlift
Bent Over Row (Barbell),https://www.lyfta.app/en/exercise/bent-over-row-9,https://www.lyfta.app//video/GymvisualMP4/00271201.mp4,00271201.mp4,Back,Barbell,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers","Brachialis, Brachioradialis, Deltoid Posterior",Bent Over Row
Seated Row (Cable),https://www.lyfta.app/exercise/cable-seated-row-6x3,https://www.lyfta.app//video/GymvisualMP4/08611201.mp4,08611201.mp4,Back,Cable,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",Cable seated row
Lat Pulldown (Cable),https://www.lyfta.app/exercise/cable-wide-grip-lat-pulldown--7v7,https://www.lyfta.app//video/GymvisualMP4/22911201.mp4,22911201.mp4,Back,Cable,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Levator Scapulae, Teres Major, Teres Minor",Cable Wide-Grip Lat Pulldown
Shrug (Machine),https://www.lyfta.app/exercise/smith-shrug-6ur,https://www.lyfta.app//video/GymvisualMP4/07671201.mp4,07671201.mp4,Back,Smith machine,Trapezius Upper Fibers,"Levator Scapulae, Trapezius Middle Fibers",Smith Shrug
Hammer Curl (Cable),https://www.lyfta.app/exercise/cable-hammer-curl--63b,https://www.lyfta.app//video/GymvisualMP4/01651201.mp4,01651201.mp4,Forearms,Cable,Brachioradialis,"Biceps Brachii, Brachialis",Cable Hammer Curl
Incline Bench Press (Smith Machine),https://www.lyfta.app/exercise/incline-bench-press-p,https://www.lyfta.app//video/GymvisualMP4/00471201.mp4,00471201.mp4,Chest,Barbell,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",Incline Bench Press
Leg Extension (Machine),https://lyfta.app/exercise/lever-leg-extension-0b,https://www.lyfta.app//video/GymvisualMP4/05851201.mp4,05851201.mp4,"Quadriceps, Thighs",Leverage machine,Quadriceps,,Lever Leg Extension
Seated Calf Raise (Machine),https://www.lyfta.app/exercise/lever-seated-calf-raise--85l,https://www.lyfta.app//video/GymvisualMP4/26661201.mp4,26661201.mp4,Calves,Leverage machine,Gastrocnemius,Soleus,Lever Seated Calf Raise
Crunch (Machine),https://www.lyfta.app/exercise/lever-total-abdominal-crunch-7kh,https://www.lyfta.app//video/GymvisualMP4/18571201.mp4,18571201.mp4,Waist,Leverage machine,Rectus Abdominis,Obliques,Lever Total Abdominal Crunch
